dataset,repetition,seed,test_samples,accuracy,precision,recall,f1,prefilter_roc_auc,prefilter_pr_auc,llm_call_ratio
Devign,1,1,2733,0.5774,0.5192,0.9258,0.6653,0.7008,0.6361,0.1614
Devign,1,7,2732,0.586,0.5199,0.9012,0.6594,0.6893,0.6114,0.1676
Devign,1,21,2732,0.5985,0.5321,0.8893,0.6659,0.7,0.6314,0.2189
Devign,1,42,2726,0.5712,0.5207,0.9454,0.6715,0.6986,0.6484,0.1277
Devign,1,100,2734,0.5805,0.5209,0.9452,0.6716,0.7038,0.6491,0.143
Devign,2,1,2734,0.578,0.5194,0.9275,0.6659,0.7046,0.6346,0.1846
Devign,2,7,2730,0.5826,0.5183,0.9197,0.663,0.6917,0.6093,0.1746
Devign,2,21,2736,0.6026,0.5299,0.9017,0.6675,0.7037,0.6135,0.2212
Devign,2,42,2730,0.5787,0.5167,0.955,0.6706,0.7002,0.6282,0.1349
Devign,2,100,2732,0.5824,0.5223,0.9451,0.6728,0.7056,0.6436,0.1781
Devign,3,1,2731,0.5755,0.5179,0.8988,0.6572,0.6998,0.634,0.1279
Devign,3,7,2731,0.5926,0.5218,0.8863,0.6569,0.6942,0.6145,0.1635
Devign,3,21,2730,0.5978,0.5317,0.8863,0.6646,0.6948,0.6344,0.1978
Devign,3,42,2726,0.5681,0.5192,0.9246,0.6649,0.695,0.653,0.115
Devign,3,100,2737,0.5771,0.522,0.9335,0.6696,0.7028,0.653,0.115
Devign,4,1,2731,0.5685,0.515,0.9196,0.6603,0.6987,0.6309,0.162
Devign,4,7,2738,0.5795,0.5235,0.8863,0.6582,0.6899,0.6176,0.1763
Devign,4,21,2733,0.596,0.5322,0.8863,0.665,0.7016,0.6349,0.2254
Devign,4,42,2727,0.5626,0.5151,0.9364,0.6646,0.6984,0.653,0.1333
Devign,4,100,2734,0.5775,0.523,0.9399,0.6721,0.6983,0.653,0.1522
Devign,5,1,2738,0.5886,0.5225,0.939,0.6714,0.6996,0.645,0.1595
Devign,5,7,2737,0.5915,0.5266,0.9215,0.6702,0.6887,0.6093,0.1646
Devign,5,21,2731,0.598,0.5326,0.9068,0.6711,0.7005,0.622,0.21
Devign,5,42,2728,0.5742,0.5212,0.9481,0.6727,0.6975,0.653,0.1298
Devign,5,100,2736,0.5821,0.5213,0.955,0.6744,0.7043,0.653,0.1485
BigVul,1,1,21723,0.9178,0.3318,0.512,0.4027,0.8409,0.3825,0.9264
BigVul,1,7,21692,0.9192,0.3375,0.4875,0.3989,0.8435,0.3911,0.9385
BigVul,1,21,21741,0.9189,0.3411,0.4968,0.4045,0.8461,0.3972,0.9421
BigVul,1,42,21709,0.9185,0.3342,0.5022,0.4013,0.842,0.389,0.9317
BigVul,1,100,21687,0.9184,0.3304,0.5017,0.3984,0.8378,0.3851,0.9202
BigVul,2,1,21715,0.9182,0.3324,0.5174,0.4047,0.8422,0.3815,0.9216
BigVul,2,7,21677,0.9191,0.3394,0.4909,0.4013,0.8406,0.3906,0.9353
BigVul,2,21,21721,0.9191,0.344,0.5049,0.4092,0.8462,0.3924,0.9439
BigVul,2,42,21736,0.9188,0.3317,0.5025,0.3996,0.8444,0.3885,0.9296
BigVul,2,100,21658,0.9186,0.3351,0.507,0.4035,0.8368,0.383,0.9228
BigVul,3,1,21686,0.9178,0.3327,0.4953,0.3981,0.8411,0.3812,0.915
BigVul,3,7,21658,0.9196,0.3386,0.4864,0.3993,0.8426,0.3931,0.9427
BigVul,3,21,21723,0.9185,0.3417,0.4902,0.4027,0.8448,0.3985,0.9383
BigVul,3,42,21702,0.9184,0.332,0.4977,0.3983,0.8439,0.3856,0.9307
BigVul,3,100,21679,0.9189,0.3314,0.4989,0.3983,0.8362,0.3801,0.9253
BigVul,4,1,21723,0.9175,0.3301,0.5084,0.4003,0.8455,0.385,0.9281
BigVul,4,7,21726,0.9193,0.3355,0.4917,0.3988,0.843,0.3919,0.9341
BigVul,4,21,21752,0.9188,0.3415,0.4937,0.4037,0.8446,0.3985,0.9433
BigVul,4,42,21733,0.9183,0.3332,0.5057,0.4017,0.8431,0.3865,0.9363
BigVul,4,100,21707,0.9179,0.3285,0.5006,0.3967,0.8384,0.3853,0.9157
BigVul,5,1,21766,0.9177,0.3321,0.5072,0.4014,0.8417,0.3892,0.9313
BigVul,5,7,21693,0.9191,0.3404,0.4915,0.4022,0.8441,0.3905,0.9449
BigVul,5,21,21778,0.9193,0.3351,0.5009,0.4016,0.8439,0.3985,0.9397
BigVul,5,42,21702,0.9187,0.3336,0.5078,0.4027,0.8424,0.3922,0.9366
BigVul,5,100,21710,0.9186,0.33,0.5013,0.398,0.8368,0.3879,0.921
ReVeal,1,1,2276,0.8449,0.5298,0.5241,0.5269,0.8237,0.4142,0.8761
ReVeal,1,7,2274,0.8527,0.556,0.4872,0.5193,0.8328,0.426,0.8598
ReVeal,1,21,2275,0.8461,0.5395,0.5039,0.5211,0.8271,0.4201,0.8702
ReVeal,1,42,2274,0.8492,0.5447,0.5,0.5214,0.829,0.4226,0.869
ReVeal,1,100,2273,0.8535,0.5539,0.4934,0.5219,0.8338,0.4298,0.8587
ReVeal,2,1,2277,0.849,0.5359,0.5281,0.5319,0.8263,0.4207,0.8703
ReVeal,2,7,2274,0.8527,0.5528,0.4839,0.5161,0.8337,0.4267,0.8536
ReVeal,2,21,2278,0.8448,0.5404,0.5054,0.5223,0.8269,0.4201,0.8696
