id,vul_id,file,method,version,label,ast_n_nodes,ast_n_edges,ast_n_leaves,ast_max_depth,ast_avg_branching,ast_error_nodes,ast_truncated,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127
VUL4J-1::src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java::deserialze::vulnerable,VUL4J-1,src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java,deserialze,vulnerable,1,551,550,379,22,0.9981851179673321,0,0,10.0,22.0,13.0,25.0,30.0,1.0,21.0,4.0,16.0,3.0,43.0,4.0,12.0,4.0,4.0,25.0,10.0,11.0,1.0,2.0,11.0,2.0,2.0,6.0,8.0,14.0,14.0,5.0,9.0,19.0,5.0,8.0,7.0,8.0,7.0,10.0,26.0,15.0,7.0,6.0,9.0,19.0,2.0,2.0,34.0,9.0,30.0,1.0,9.0,8.0,5.0,8.0,21.0,16.0,6.0,11.0,5.0,7.0,0.0,17.0,34.0,28.0,11.0,8.0,21.0,13.0,5.0,8.0,5.0,5.0,2.0,7.0,3.0,4.0,4.0,4.0,104.0,2.0,17.0,9.0,15.0,58.0,6.0,18.0,43.0,2.0,6.0,10.0,7.0,3.0,7.0,1.0,9.0,18.0,9.0,9.0,3.0,9.0,3.0,12.0,4.0,29.0,8.0,2.0,16.0,7.0,12.0,26.0,14.0,15.0,5.0,2.0,17.0,2.0,32.0,2.0,10.0,1.0,26.0,39.0,6.3135480880737305,6.311734676361084,5.940171241760254,22.0,0.9981850981712341,0.0,0.0,1.0
VUL4J-1::src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java::deserialze::fixed,VUL4J-1,src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java,deserialze,fixed,0,551,550,379,22,0.9981851179673321,0,0,10.0,22.0,13.0,25.0,30.0,1.0,21.0,4.0,16.0,3.0,43.0,4.0,12.0,4.0,4.0,25.0,10.0,11.0,1.0,2.0,11.0,2.0,2.0,6.0,8.0,14.0,14.0,5.0,9.0,19.0,5.0,8.0,7.0,8.0,7.0,10.0,26.0,15.0,7.0,6.0,9.0,19.0,2.0,2.0,34.0,9.0,30.0,1.0,9.0,8.0,5.0,8.0,21.0,16.0,6.0,11.0,5.0,7.0,0.0,17.0,34.0,28.0,11.0,8.0,21.0,13.0,5.0,8.0,5.0,5.0,2.0,7.0,3.0,4.0,4.0,4.0,104.0,2.0,17.0,9.0,15.0,58.0,6.0,18.0,43.0,2.0,6.0,10.0,7.0,3.0,7.0,1.0,9.0,18.0,9.0,9.0,3.0,9.0,3.0,12.0,4.0,29.0,8.0,2.0,16.0,7.0,12.0,26.0,14.0,15.0,5.0,2.0,17.0,2.0,32.0,2.0,10.0,1.0,26.0,39.0,6.3135480880737305,6.311734676361084,5.940171241760254,22.0,0.9981850981712341,0.0,0.0,1.0
VUL4J-1::src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java::toObjectArray::vulnerable_other,VUL4J-1,src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java,toObjectArray,vulnerable_other,0,462,461,323,18,0.9978354978354979,0,0,6.0,18.0,30.0,20.0,24.0,1.0,18.0,2.0,10.0,3.0,41.0,3.0,11.0,1.0,5.0,16.0,9.0,8.0,2.0,10.0,3.0,2.0,4.0,6.0,1.0,11.0,9.0,10.0,5.0,19.0,1.0,8.0,4.0,7.0,8.0,10.0,21.0,5.0,8.0,4.0,1.0,13.0,1.0,0.0,24.0,6.0,19.0,1.0,7.0,3.0,3.0,3.0,19.0,14.0,3.0,8.0,4.0,9.0,0.0,18.0,28.0,17.0,11.0,3.0,18.0,15.0,3.0,5.0,12.0,5.0,1.0,9.0,3.0,6.0,1.0,3.0,102.0,2.0,12.0,8.0,7.0,55.0,3.0,15.0,25.0,5.0,2.0,6.0,3.0,3.0,4.0,1.0,3.0,12.0,2.0,7.0,6.0,1.0,5.0,14.0,4.0,30.0,7.0,8.0,15.0,1.0,10.0,21.0,10.0,13.0,6.0,2.0,16.0,8.0,29.0,5.0,14.0,1.0,25.0,38.0,6.1377272605896,6.135564804077148,5.780743598937988,18.0,0.9978355169296265,0.0,0.0,1.0
VUL4J-1::src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java::ObjectArrayCodec::vulnerable_other,VUL4J-1,src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java,ObjectArrayCodec,vulnerable_other,0,17,16,10,5,0.9411764705882353,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.890371799468994,2.8332133293151855,2.397895336151123,5.0,0.9411764740943909,0.0,0.0,1.0
VUL4J-1::src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java::write::vulnerable_other,VUL4J-1,src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java,write,vulnerable_other,0,647,646,448,19,0.9984544049459042,0,0,4.0,27.0,17.0,27.0,30.0,2.0,28.0,4.0,13.0,1.0,40.0,1.0,14.0,3.0,16.0,30.0,8.0,32.0,2.0,12.0,5.0,3.0,1.0,11.0,6.0,12.0,8.0,10.0,5.0,24.0,7.0,9.0,6.0,13.0,16.0,16.0,28.0,13.0,3.0,12.0,2.0,14.0,2.0,0.0,35.0,5.0,34.0,3.0,9.0,6.0,3.0,3.0,29.0,24.0,6.0,10.0,8.0,4.0,2.0,26.0,36.0,21.0,13.0,8.0,27.0,22.0,13.0,8.0,9.0,7.0,2.0,30.0,3.0,5.0,0.0,14.0,127.0,4.0,13.0,8.0,9.0,65.0,7.0,20.0,22.0,5.0,10.0,3.0,7.0,0.0,3.0,1.0,6.0,13.0,7.0,20.0,9.0,8.0,6.0,25.0,2.0,40.0,10.0,6.0,8.0,2.0,13.0,29.0,14.0,29.0,9.0,1.0,23.0,9.0,49.0,3.0,13.0,8.0,53.0,60.0,6.473890781402588,6.472346305847168,6.107022762298584,19.0,0.9984543919563293,0.0,0.0,1.0
VUL4J-1::src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java::getFastMatchToken::vulnerable_other,VUL4J-1,src/main/java/com/alibaba/fastjson/serializer/ObjectArrayCodec.java,getFastMatchToken,vulnerable_other,0,26,25,16,7,0.9615384615384616,0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.295836925506592,3.25809645652771,2.8332133293151855,7.0,0.9615384340286255,0.0,0.0,1.0
VUL4J-1::src/test/java/com/alibaba/json/bvt/bug/Issue1005.java::test_for_issue::vulnerable,VUL4J-1,src/test/java/com/alibaba/json/bvt/bug/Issue1005.java,test_for_issue,vulnerable,1,164,163,113,11,0.9939024390243902,0,0,5.0,2.0,1.0,4.0,2.0,0.0,13.0,2.0,0.0,1.0,14.0,1.0,1.0,7.0,0.0,7.0,1.0,5.0,4.0,3.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,4.0,12.0,1.0,2.0,10.0,0.0,3.0,0.0,1.0,7.0,4.0,16.0,0.0,19.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,14.0,2.0,5.0,4.0,14.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,27.0,5.0,1.0,0.0,2.0,18.0,1.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,6.0,4.0,11.0,10.0,0.0,2.0,1.0,4.0,13.0,1.0,8.0,2.0,5.0,5.0,0.0,6.0,0.0,1.0,0.0,17.0,15.0,5.105945587158203,5.0998663902282715,4.736198425292969,11.0,0.9939024448394775,0.0,0.0,1.0
VUL4J-1::src/test/java/com/alibaba/json/bvt/bug/Issue1005.java::test_for_issue::fixed,VUL4J-1,src/test/java/com/alibaba/json/bvt/bug/Issue1005.java,test_for_issue,fixed,0,180,179,125,12,0.9944444444444445,0,0,5.0,2.0,1.0,8.0,2.0,0.0,13.0,2.0,0.0,1.0,14.0,1.0,1.0,5.0,1.0,7.0,1.0,5.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,5.0,12.0,4.0,3.0,10.0,0.0,3.0,0.0,1.0,1.0,0.0,20.0,0.0,19.0,0.0,1.0,1.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,14.0,6.0,11.0,4.0,14.0,5.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,3.0,27.0,5.0,1.0,0.0,2.0,18.0,1.0,0.0,7.0,1.0,4.0,0.0,6.0,0.0,4.0,4.0,9.0,5.0,1.0,3.0,1.0,3.0,1.0,6.0,4.0,11.0,10.0,0.0,2.0,1.0,4.0,13.0,1.0,12.0,2.0,5.0,5.0,3.0,6.0,0.0,1.0,0.0,17.0,15.0,5.1984968185424805,5.192956924438477,4.836281776428223,12.0,0.9944444298744202,0.0,0.0,1.0
VUL4J-2::batik-dom/src/main/java/org/apache/batik/dom/util/SAXDocumentFactory.java::createDocument::vulnerable,VUL4J-2,batik-dom/src/main/java/org/apache/batik/dom/util/SAXDocumentFactory.java,createDocument,vulnerable,1,53,52,37,10,0.9811320754716981,0,0,0.0,3.0,5.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.9889841079711914,3.97029185295105,3.6375861167907715,10.0,0.9811320900917053,0.0,0.0,1.0
VUL4J-2::batik-dom/src/main/java/org/apache/batik/dom/util/SAXDocumentFactory.java::createDocument::fixed,VUL4J-2,batik-dom/src/main/java/org/apache/batik/dom/util/SAXDocumentFactory.java,createDocument,fixed,0,392,391,271,18,0.9974489795918368,0,0,2.0,9.0,14.0,8.0,25.0,3.0,20.0,7.0,2.0,4.0,29.0,2.0,24.0,3.0,3.0,33.0,7.0,13.0,2.0,3.0,1.0,5.0,0.0,2.0,2.0,5.0,4.0,7.0,6.0,10.0,5.0,4.0,3.0,5.0,17.0,8.0,7.0,1.0,0.0,3.0,2.0,5.0,1.0,3.0,32.0,8.0,18.0,1.0,3.0,1.0,2.0,5.0,17.0,12.0,2.0,7.0,4.0,0.0,3.0,10.0,29.0,6.0,3.0,18.0,20.0,24.0,3.0,4.0,7.0,2.0,0.0,9.0,1.0,1.0,0.0,8.0,64.0,1.0,3.0,2.0,20.0,31.0,1.0,5.0,14.0,3.0,1.0,1.0,3.0,10.0,2.0,12.0,0.0,5.0,25.0,11.0,27.0,2.0,4.0,20.0,2.0,29.0,2.0,1.0,10.0,2.0,1.0,24.0,8.0,21.0,3.0,2.0,10.0,1.0,29.0,1.0,3.0,1.0,22.0,36.0,5.973809719085693,5.971261978149414,5.605802059173584,18.0,0.9974489808082581,0.0,0.0,1.0
